# omega0=1, alpha=0.2
# theta0=-0.8, theta_dot0=0.1234
# t_start=0, t_end=200, h=0.0116355
#   t          theta(t)                 thetadot(t)       
0 -8.000000000000000e-01 1.234000000000000e-01
1.163552834662887e-01 -7.749766335332222e-01 3.056363863616203e-01
2.327105669325774e-01 -7.291673617117558e-01 4.803377573995164e-01
3.490658503988658e-01 -6.635708629897979e-01 6.453958156994407e-01
4.654211338651543e-01 -5.794358538107088e-01 7.986190393521989e-01
5.817764173314427e-01 -4.782704232367626e-01 9.377478477176551e-01
6.981317007977311e-01 -3.618463231944880e-01 1.060526531066215e+00
8.144869842640196e-01 -2.321916641291756e-01 1.164829278633280e+00
9.308422677303080e-01 -9.156642217250019e-02 1.248826235736352e+00
1.047197551196597e+00 5.758250332937000e-02 1.311163788849924e+00
1.163552834662887e+00 2.126864054572866e-01 1.351125006611027e+00
1.279908118129176e+00 3.711356825627798e-01 1.368735352081041e+00
1.396263401595466e+00 5.303685290256703e-01 1.364787516178114e+00
1.512618685061755e+00 6.879572598224795e-01 1.340776010004851e+00
1.628973968528045e+00 8.416821903511987e-01 1.298751968795271e+00
1.745329251994334e+00 9.895852242038038e-01 1.241124993101901e+00
1.861684535460624e+00 1.129998983490533e+00 1.170446861081946e+00
1.978039818926913e+00 1.261551360299174e+00 1.089210276571744e+00
2.094395102393201e+00 1.383148753457736e+00 9.996867832370274e-01
2.210750385859488e+00 1.493943363617983e+00 9.038158123991461e-01
2.327105669325776e+00 1.593290633400954e+00 8.031455812464322e-01
2.443460952792063e+00 1.680702506023976e+00 6.988186881946412e-01
2.559816236258350e+00 1.755801082298428e+00 5.915914062988138e-01
2.676171519724638e+00 1.818275921163603e+00 4.818751991043201e-01
2.792526803190925e+00 1.867846977190274e+00 3.697906761682760e-01
2.908882086657212e+00 1.904234182251923e+00 2.552269049640812e-01
3.025237370123500e+00 1.927134022430145e+00 1.379018625063752e-01
3.141592653589787e+00 1.936203123882066e+00 1.742237135606944e-02
3.257947937056074e+00 1.931048794017191e+00 -1.066560718509859e-01
3.374303220522362e+00 1.911226605793324e+00 -2.347676415128569e-01
3.490658503988649e+00 1.876245400479116e+00 -3.672697865104216e-01
3.607013787454936e+00 1.825580451533180e+00 -5.043688077096276e-01
3.723369070921223e+00 1.758695897962985e+00 -6.460345683868353e-01
3.839724354387511e+00 1.675077805391145e+00 -7.919031202187734e-01
3.956079637853798e+00 1.574279180755842e+00 -9.411693469733031e-01
4.072434921320085e+00 1.455977723276773e+00 -1.092477265393895e+00
4.188790204786373e+00 1.320045765273945e+00 -1.243823567772129e+00
