# omega0=1, alpha=0.05
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=200, h=0.00911928
#   t          theta(t)                 thetadot(t)       
0 8.000000000000000e-01 0.000000000000000e+00
9.119282013323059e-02 7.970231531012024e-01 -6.520574419742395e-02
1.823856402664613e-01 7.881279292696449e-01 -1.297363727182435e-01
2.735784603996920e-01 7.733931166959100e-01 -1.932136150553099e-01
3.647712805329227e-01 7.529322099136754e-01 -2.552539610959584e-01
4.559641006661534e-01 7.268940405305133e-01 -3.154654928139680e-01
5.471569207993838e-01 6.954636408128824e-01 -3.734460028415500e-01
6.383497409326140e-01 6.588632079620339e-01 -4.287827150943574e-01
7.295425610658441e-01 6.173530111239396e-01 -4.810538543418208e-01
8.207353811990743e-01 5.712320646583308e-01 -5.298322197846386e-01
9.119282013323045e-01 5.208383822072924e-01 -5.746908003865193e-01
1.003121021465535e+00 4.665486289317483e-01 -6.152103286161201e-01
1.094313841598765e+00 4.087770058327774e-01 -6.509885109791080e-01
1.185506661731995e+00 3.479732314036607e-01 -6.816505102907044e-01
1.276699481865225e+00 2.846195316967270e-01 -7.068601030250017e-01
1.367892301998455e+00 2.192266082557917e-01 -7.263308153899091e-01
1.459085122131685e+00 1.523286204141389e-01 -7.398362742229624e-01
1.550277942264916e+00 8.447728864211836e-02 -7.472190098097443e-01
1.641470762398146e+00 1.623529222563729e-02 -7.483970260195014e-01
1.732663582531376e+00 -5.183080948095994e-02 -7.433676067998846e-01
1.823856402664606e+00 -1.191578639936898e-01 -7.322080434257713e-01
1.915049222797836e+00 -1.851933351776973e-01 -7.150732199744441e-01
2.006242042931067e+00 -2.494021558464229e-01 -6.921902547211949e-01
2.097434863064297e+00 -3.112729731298929e-01 -6.638506306454529e-01
2.188627683197527e+00 -3.703235846022444e-01 -6.304004314703605e-01
2.279820503330757e+00 -4.261054250772449e-01 -5.922294120054498e-01
2.371013323463987e+00 -4.782070325935006e-01 -5.497596658216479e-01
2.462206143597217e+00 -5.262564904094351e-01 -5.034346137027135e-01
2.553398963730448e+00 -5.699229036353652e-01 -4.537089363850780e-01
2.644591783863678e+00 -6.089170197885847e-01 -4.010399339721942e-01
2.735784603996908e+00 -6.429911392614754e-01 -3.458806329004526e-01
2.826977424130138e+00 -6.719384834738010e-01 -2.886747984250577e-01
2.918170244263368e+00 -6.955921959225516e-01 -2.298538610645905e-01
3.009363064396598e+00 -7.138241461405463e-01 -1.698356387971303e-01
3.100555884529828e+00 -7.265436910497058e-01 -1.090246373775248e-01
3.191748704663059e+00 -7.336965248615932e-01 -4.781363906563466e-02
3.282941524796289e+00 -7.352637199223666e-01 1.341375738911037e-02
3.374134344929519e+00 -7.312610287878396e-01 7.428000953706687e-02
3.465327165062749e+00 -7.217384840306637e-01 1.344102912580471e-01
3.556519985195979e+00 -7.067802981681462e-01 1.934293117203582e-01
3.647712805329209e+00 -6.865050327687930e-01 2.509586507147969e-01
3.738905625462440e+00 -6.610659742773021e-01 3.066149421943401e-01
3.830098445595670e+00 -6.306516254807694e-01 3.600091995113166e-01
3.921291265728900e+00 -5.954861970823182e-01 4.107475225280756e-01
4.012484085862130e+00 -5.558299650269455e-01 4.584333561666198e-01
4.103676905995361e+00 -5.119793476882962e-01 5.026713807094678e-01
4.194869726128591e+00 -4.642665544612261e-01 5.430730069901795e-01
4.286062546261821e+00 -4.130586652021968e-01 5.792633282787623e-01
4.377255366395051e+00 -3.587560193003278e-01 6.108892525698030e-01
4.468448186528281e+00 -3.017898240871284e-01 6.376284151155208e-01
4.559641006661511e+00 -2.426189338055580e-01 6.591983651532872e-01
4.650833826794742e+00 -1.817258001463803e-01 6.753654476174037e-01
4.742026646927972e+00 -1.196116498070790e-01 6.859527735472100e-01
4.833219467061202e+00 -5.679099897179083e-02 6.908467011253970e-01
4.924412287194432e+00 6.214336172059597e-03 6.900013354757122e-01
5.015605107327662e+00 6.888153488056481e-02 6.834406941959770e-01
5.106797927460892e+00 1.306931509639988e-01 6.712583637955873e-01
5.197990747594122e+00 1.911433462775714e-01 6.536146701154929e-01
5.289183567727353e+00 2.497437604042017e-01 6.307315805249731e-01
5.380376387860583e+00 3.060288261861041e-01 6.028857248242682e-01
5.471569207993813e+00 3.595603821496454e-01 5.704000471449510e-01
5.562762028127043e+00 4.099314832337068e-01 5.336346714733871e-01
5.653954848260273e+00 4.567693653537995e-01 4.929775756376153e-01
