# omega0=1, alpha=0.2
# theta0=0.8, theta_dot0=0.8
# t_start=0, t_end=200, h=0.00905358
#   t          theta(t)                 thetadot(t)       
0 8.000000000000000e-01 8.000000000000000e-01
1.810716226852906e-01 9.385429080673712e-01 7.278714031683647e-01
3.621432453705811e-01 1.062824425464438e+00 6.429834357172580e-01
5.432148680558717e-01 1.170793914806715e+00 5.481149794740380e-01
7.242864907411632e-01 1.260849679825540e+00 4.454211413510745e-01
9.053581134264548e-01 1.331717124421923e+00 3.363591181703924e-01
1.086429736111745e+00 1.382325587873913e+00 2.217419865858961e-01
1.267501358797035e+00 1.411703808246692e+00 1.018848473225450e-01
1.448572981482324e+00 1.418907817881357e+00 -2.318739134489175e-02
1.629644604167613e+00 1.402990438744476e+00 -1.534907793731357e-01
1.810716226852902e+00 1.363018788797608e+00 -2.888025863837106e-01
1.991787849538192e+00 1.298144616365608e+00 -4.283591295653392e-01
2.172859472223481e+00 1.207730334146934e+00 -5.705465463608624e-01
2.353931094908770e+00 1.091529228946165e+00 -7.126198775044722e-01
2.535002717594060e+00 9.499091937343734e-01 -8.505174246397884e-01
2.716074340279349e+00 7.840940539559673e-01 -9.788710107491474e-01
2.897145962964638e+00 5.963766334088200e-01 -1.091325445018796e+00
3.078217585649928e+00 3.902399225729516e-01 -1.181238379012520e+00
3.259289208335217e+00 1.703195368974930e-01 -1.242711375551456e+00
3.440360831020506e+00 -5.783495044683126e-02 -1.271728689728044e+00
3.621432453705796e+00 -2.881879430000960e-01 -1.267044617108371e+00
3.802504076391085e+00 -5.147568883861733e-01 -1.230479365354898e+00
3.983575699076374e+00 -7.321392762108181e-01 -1.166492595666575e+00
4.164647321761672e+00 -9.359071896166347e-01 -1.081195496495721e+00
4.345718944446970e+00 -1.122798538989963e+00 -9.811588262724281e-01
4.526790567132268e+00 -1.290701953149537e+00 -8.723760605010085e-01
4.707862189817567e+00 -1.438485260009337e+00 -7.595917995644310e-01
4.888933812502865e+00 -1.565738862156437e+00 -6.460258961498772e-01
5.070005435188163e+00 -1.672498785603939e+00 -5.334046513221091e-01
5.251077057873461e+00 -1.758993626043288e+00 -4.221729385228949e-01
5.432148680558759e+00 -1.825437863586932e+00 -3.117793217833168e-01
5.613220303244058e+00 -1.871877923462339e+00 -2.009654746554695e-01
5.794291925929356e+00 -1.898088447223952e+00 -8.802880000983862e-02
5.975363548614654e+00 -1.903513258924033e+00 2.894541883399838e-02
6.156435171299952e+00 -1.887246545112509e+00 1.518687096808616e-01
6.337506793985250e+00 -1.848053230459177e+00 2.824272989679407e-01
6.518578416670548e+00 -1.784432325578546e+00 4.218246878270374e-01
6.699650039355847e+00 -1.694732211439033e+00 5.704613381236390e-01
6.880721662041145e+00 -1.577331002744153e+00 7.275352753618385e-01
7.061793284726443e+00 -1.430895644678154e+00 8.905783382878855e-01
7.242864907411741e+00 -1.254725714101999e+00 1.055003910566270e+00
7.423936530097039e+00 -1.049166141243574e+00 1.213834796347714e+00
7.605008152782338e+00 -8.160334738919829e-01 1.357875308744829e+00
7.786079775467636e+00 -5.589489269458198e-01 1.476608370473406e+00
7.967151398152934e+00 -2.834329378425741e-01 1.559921997310572e+00
8.148223020838218e+00 3.368713198522237e-03 1.600359090563499e+00
8.329294643523498e+00 2.933580139690223e-01 1.595122101510829e+00
8.510366266208779e+00 5.784290968233141e-01 1.546935124372018e+00
8.691437888894059e+00 8.514258908970541e-01 1.463317987447655e+00
8.872509511579340e+00 1.106844779496256e+00 1.354613560171201e+00
9.053581134264620e+00 1.341132402895825e+00 1.231650050448919e+00
9.234652756949901e+00 1.552593197678895e+00 1.103876554755215e+00
9.415724379635181e+00 1.741035469486558e+00 9.783614298499345e-01
9.596796002320461e+00 1.907311799080177e+00 8.595893236200721e-01
9.777867625005742e+00 2.052873703497317e+00 7.497678099648680e-01
9.958939247691022e+00 2.179405014107968e+00 6.493474250225741e-01
1.014001087037630e+01 2.288552708545751e+00 5.575536932917434e-01
1.032108249306158e+01 2.381747052129378e+00 4.728320866904067e-01
1.050215411574686e+01 2.460091927654738e+00 3.931775506541509e-01
1.068322573843214e+01 2.524304862079445e+00 3.163569369459882e-01
1.086429736111742e+01 2.574689254559506e+00 2.400462528318986e-01
1.104536898380270e+01 2.611125527897848e+00 1.619061267332632e-01
1.122644060648799e+01 2.633071908239601e+00 7.961573099908259e-02
1.140751222917327e+01 2.639568856642188e+00 -9.118293557995360e-03
1.158858385185855e+01 2.629243945912777e+00 -1.065634821444611e-01
1.176965547454383e+01 2.600316602994821e+00 -2.149586133650396e-01
1.195072709722911e+01 2.550605230636345e+00 -3.364864356014316e-01
1.213179871991439e+01 2.477543587188013e+00 -4.731926922099356e-01
1.231287034259967e+01 2.378219910011659e+00 -6.268069394679358e-01
1.249394196528495e+01 2.249462017044062e+00 -7.984017719180352e-01
1.267501358797023e+01 2.088004559467652e+00 -9.878130989569158e-01
1.285608521065551e+01 1.890788013651129e+00 -1.192758477057846e+00
1.303715683334079e+01 1.655443914281117e+00 -1.407679906058986e+00
1.321822845602607e+01 1.380997966074760e+00 -1.622564750514437e+00
1.339930007871135e+01 1.068743952153365e+00 -1.822380387558564e+00
1.358037170139663e+01 7.230906223131079e-01 -1.988115738781614e+00
1.376144332408191e+01 3.520063089485601e-01 -2.100254039024354e+00
1.394251494676719e+01 -3.336934067367017e-02 -2.144274571534280e+00
1.412358656945247e+01 -4.201320306796291e-01 -2.115882667671334e+00
1.430465819213775e+01 -7.957031048325326e-01 -2.022886621890697e+00
1.448572981482303e+01 -1.149834729519162e+00 -1.882427036894911e+00
1.466680143750831e+01 -1.475806681359892e+00 -1.715313265765288e+00
1.484787306019359e+01 -1.770577151450051e+00 -1.540628371278128e+00
1.502894468287887e+01 -2.034151310022617e+00 -1.372657104122686e+00
1.521001630556415e+01 -2.268625327208288e+00 -1.220267254518108e+00
1.539108792824944e+01 -2.477271103370449e+00 -1.087791187034296e+00
1.557215955093472e+01 -2.663838227216328e+00 -9.764058216744503e-01
1.575323117362000e+01 -2.832102312623141e+00 -8.854100299551243e-01
1.593430279630528e+01 -2.985616565846503e+00 -8.131780305096028e-01
1.611537441899056e+01 -3.127605212618837e+00 -7.577813161577713e-01
1.629644604167584e+01 -3.260944757202286e+00 -7.173508500354746e-01
1.647751766436112e+01 -3.388193483374765e+00 -6.902600710140233e-01
1.665858928704640e+01 -3.511642835498303e+00 -6.751923782487828e-01
1.683966090973168e+01 -3.633373930819910e+00 -6.711358559226812e-01
1.702073253241696e+01 -3.755308558983992e+00 -6.773307462003186e-01
1.720180415510224e+01 -3.879247471725099e+00 -6.931830753891312e-01
1.738287577778752e+01 -4.006890454909389e+00 -7.181504015934588e-01
1.756394740047280e+01 -4.139833390186010e+00 -7.516022585857181e-01
1.774501902315808e+01 -4.279537965759671e+00 -7.926583883008221e-01
1.792609064584336e+01 -4.427270622647097e+00 -8.400126718409600e-01
1.810716226852864e+01 -4.584009550474554e+00 -8.917602641265566e-01
1.828823389121392e+01 -4.750322925971082e+00 -9.452593806219100e-01
1.846930551389920e+01 -4.926228690784725e+00 -9.970745360922068e-01
1.865037713658448e+01 -5.111055675364956e+00 -1.043057684594042e+00
1.883144875926977e+01 -5.303335783925655e+00 -1.078616366575538e+00
1.901252038195505e+01 -5.500763110950250e+00 -1.099182455055822e+00
1.919359200464033e+01 -5.700252803985984e+00 -1.100830108074038e+00
1.937466362732561e+01 -5.898116260811872e+00 -1.080916193760654e+00
1.955573525001089e+01 -6.090341308919155e+00 -1.038569783633552e+00
1.973680687269617e+01 -6.272935252787512e+00 -9.748773063022744e-01
1.991787849538145e+01 -6.442268321132790e+00 -8.927017886170393e-01
