# omega0=1, alpha=0.2
# theta0=0.8, theta_dot0=0.8
# t_start=0, t_end=200, h=0.00905358
#   t          theta(t)                 thetadot(t)       
0 8.000000000000000e-01 8.000000000000000e-01
9.053581134264535e-02 8.709055257974120e-01 7.657235212235514e-01
1.810716226852906e-01 9.385429080673712e-01 7.278714031683647e-01
2.716074340279359e-01 1.002606339043040e+00 6.868359291529371e-01
3.621432453705811e-01 1.062824425464438e+00 6.429834357172580e-01
4.526790567132263e-01 1.118957438081100e+00 5.966458771406760e-01
5.432148680558717e-01 1.170793914806715e+00 5.481149794740380e-01
6.337506793985175e-01 1.218146848899670e+00 4.976388934028179e-01
7.242864907411632e-01 1.260849679825540e+00 4.454211413510745e-01
8.148223020838090e-01 1.298752282508540e+00 3.916215858372886e-01
9.053581134264548e-01 1.331717124421923e+00 3.363591181703924e-01
9.958939247691005e-01 1.359615732717539e+00 2.797157710794304e-01
1.086429736111745e+00 1.382325587873913e+00 2.217419865858961e-01
1.176965547454390e+00 1.399727537837153e+00 1.624628123061800e-01
1.267501358797035e+00 1.411703808246692e+00 1.018848473225450e-01
1.358037170139679e+00 1.418136670309441e+00 4.000380596029430e-02
1.448572981482324e+00 1.418907817881357e+00 -2.318739134489175e-02
1.539108792824968e+00 1.413898498543732e+00 -8.769006104153790e-02
1.629644604167613e+00 1.402990438744476e+00 -1.534907793731357e-01
1.720180415510258e+00 1.386067598891482e+00 -2.205520349484991e-01
1.810716226852902e+00 1.363018788797608e+00 -2.888025863837106e-01
1.901252038195547e+00 1.333741164953230e+00 -3.581276511270629e-01
1.991787849538192e+00 1.298144616365608e+00 -4.283591295653392e-01
2.082323660880836e+00 1.256157022640410e+00 -4.992661743706835e-01
2.172859472223481e+00 1.207730334146934e+00 -5.705465463608624e-01
2.263395283566126e+00 1.152847377482151e+00 -6.418193477328691e-01
2.353931094908770e+00 1.091529228946165e+00 -7.126198775044722e-01
2.444466906251415e+00 1.023842924906538e+00 -7.823974900754114e-01
2.535002717594060e+00 9.499091937343734e-01 -8.505174246397884e-01
2.625538528936704e+00 8.699098056225203e-01 -9.162675716825501e-01
2.716074340279349e+00 7.840940539559673e-01 -9.788710107491474e-01
2.806610151621994e+00 6.927838185680401e-01 -1.037504854168667e+00
2.897145962964638e+00 5.963766334088200e-01 -1.091325445018796e+00
2.987681774307283e+00 4.953462055350080e-01 -1.139499296447640e+00
3.078217585649928e+00 3.902399225729516e-01 -1.181238379012520e+00
