# omega0=1, alpha=0.2
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          theta(t)                 thetadot(t)       
0  8.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 7.970366685981157e-01 -6.476213566179119e-02
1.823856402664613e-01 7.882352528682466e-01 -1.279804742787426e-01
2.735784603996920e-01 7.737522296381529e-01 -1.893119153914372e-01
3.647712805329227e-01 7.537751237529977e-01 -2.484180459315060e-01
4.559641006661534e-01 7.285222214632386e-01 -3.049622624369697e-01
5.471569207993838e-01 6.982424848860957e-01 -3.586082759998006e-01
6.383497409326140e-01 6.632155324542898e-01 -4.090201843177054e-01
7.295425610658441e-01 6.237515371283595e-01 -4.558642126907668e-01
8.207353811990743e-01 5.801908890729994e-01 -4.988121314695101e-01
9.119282013323045e-01 5.329034735396787e-01 -5.375462522052277e-01
1.003121021465535e+00 4.822874287027908e-01 -5.717657924123849e-01
1.094313841598765e+00 4.287672725115714e-01 -6.011942865290673e-01
1.185506661731995e+00 3.727913218050057e-01 -6.255876183945394e-01
1.276699481865225e+00 3.148283695399882e-01 -6.447421702668453e-01
1.367892301998455e+00 2.553636344446770e-01 -6.585025371145787e-01
1.459085122131685e+00 1.948940481495137e-01 -6.667682525898814e-01
1.550277942264916e+00 1.339229935615698e-01 -6.694990203517103e-01
1.641470762398146e+00 7.295465038169086e-02 -6.667180407985366e-01
1.732663582531376e+00 1.248813502017142e-02 -6.585131614610870e-01
1.823856402664606e+00 -4.698836048629199e-02 -6.450357456319862e-01
1.915049222797836e+00 -1.050032243778675e-01 -6.264973301086902e-01
2.006242042931067e+00 -1.611066839180788e-01 -6.031643093737548e-01
2.097434863064297e+00 -2.148755032298376e-01 -5.753510218544159e-01
2.188627683197527e+00 -2.659169954728911e-01 -5.434117102364852e-01
2.279820503330757e+00 -3.138722701787021e-01 -5.077318746451701e-01
2.371013323463987e+00 -3.584186840909623e-01 -4.687195343009350e-01
2.462206143597217e+00 -3.992715090155516e-01 -4.267968657409394e-01
2.553398963730448e+00 -4.361848693652513e-01 -3.823926041805132e-01
2.644591783863678e+00 -4.689520327610631e-01 -3.359354917737559e-01
2.735784603996908e+00 -4.974051578751720e-01 -2.878489453106725e-01
2.826977424130138e+00 -5.214146144371263e-01 -2.385470075802801e-01
2.918170244263368e+00 -5.408879916571019e-01 -1.884315498710764e-01
3.009363064396598e+00 -5.557689045774939e-01 -1.378906134092719e-01
3.100555884529828e+00 -5.660356947442025e-01 -8.729771755897923e-02
3.191748704663059e+00 -5.717001039140719e-01 -3.701192256689684e-02
3.282941524796289e+00 -5.728059790491331e-01 1.262158685930052e-02
3.374134344929519e+00 -5.694280451836675e-01 6.127063606548414e-02
3.465327165062749e+00 -5.616707612553297e-01 1.086151434646155e-01
3.556519985195979e+00 -5.496672538080376e-01 1.543463625905209e-01
3.647712805329209e+00 -5.335783055407667e-01 1.981664645587344e-01
3.738905625462440e+00 -5.135913607634678e-01 2.397886054790804e-01
3.830098445595670e+00 -4.899194985606601e-01 2.789375803145878e-01
3.921291265728900e+00 -4.628003173597627e-01 3.153511168031722e-01
4.012484085862130e+00 -4.324946720235716e-01 3.487818119806844e-01
4.103676905995361e+00 -3.992852067359022e-01 3.789996616349172e-01
4.194869726128591e+00 -3.634746338141311e-01 4.057950823048480e-01
4.286062546261821e+00 -3.253837198855809e-01 4.289822793743477e-01
4.377255366395051e+00 -2.853489560242972e-01 4.484027768935084e-01
4.468448186528281e+00 -2.437199065566923e-01 4.639288984857999e-01
4.559641006661511e+00 -2.008562511040077e-01 4.754669770843011e-01
4.650833826794742e+00 -1.571245545975463e-01 4.829600763203611e-01
4.742026646927972e+00 -1.128948189171294e-01 4.863900287591974e-01
4.833219467061202e+00 -6.853688592566792e-02 4.857786346985225e-01
4.924412287194432e+00 -2.441677365082806e-02 4.811879169860698e-01
5.015605107327662e+00 1.910696581223561e-02 4.727193877745943e-01
5.106797927460892e+00 6.168677698275982e-02 4.605123467567028e-01
5.197990747594122e+00 1.029894351662826e-01 4.447412912672655e-01
5.289183567727353e+00 1.426991088294079e-01 4.256125711534243e-01
5.380376387860583e+00 1.805200889310205e-01 4.033604610200033e-01
5.471569207993813e+00 2.161791409254473e-01 3.782428464868017e-01
5.562762028127043e+00 2.494274535450642e-01 3.505367284142506e-01
5.653954848260273e+00 2.800421767907499e-01 3.205337404426747e-01
5.745147668393503e+00 3.078275584502891e-01 2.885358529439153e-01
5.836340488526734e+00 3.326157028308288e-01 2.548514039573797e-01
5.927533308659964e+00 3.542669864693477e-01 2.197915587585628e-01
6.018726128793194e+00 3.726701729709871e-01 1.836672582902265e-01
6.109918948926424e+00 3.877422727560188e-01 1.467866762884462e-01
6.201111769059654e+00 3.994281936008901e-01 1.094531684086221e-01
6.292304589192884e+00 4.077002248903042e-01 7.196366606012902e-02
6.383497409326115e+00 4.125573930599997e-01 3.460744425844883e-02
6.474690229459345e+00 4.140247184904746e-01 -2.334822840298170e-03
6.565883049592575e+00 4.121523958209071e-01 -3.859181295595247e-02
6.657075869725805e+00 4.070149109793001e-01 -7.390220806972536e-02
6.748268689859035e+00 3.987100998053859e-01 -1.080153369850098e-01
6.839461509992265e+00 3.873581455383066e-01 -1.406918851706288e-01
6.930654330125495e+00 3.731005061240267e-01 -1.717047326377145e-01
7.021847150258726e+00 3.560987576416770e-01 -2.008399607177163e-01
7.113039970391956e+00 3.365333374204650e-01 -2.278980464147736e-01
7.204232790525186e+00 3.146021697712673e-01 -2.526952398059461e-01
7.295425610658416e+00 2.905191587186940e-01 -2.750650971402397e-01
7.386618430791646e+00 2.645125355909367e-01 -2.948601212697292e-01
7.477811250924876e+00 2.368230545767351e-01 -3.119534432437288e-01
7.569004071058107e+00 2.077020360375692e-01 -3.262404656101990e-01
7.660196891191337e+00 1.774092650057188e-01 -3.376403802723102e-01
7.751389711324567e+00 1.462107603590840e-01 -3.460974723691953e-01
7.842582531457797e+00 1.143764380494172e-01 -3.515821268577896e-01
7.933775351591027e+00 8.217769887898828e-02 -3.540914660048431e-01
8.024968171724257e+00 4.988497712795090e-02 -3.536495630404203e-01
8.116160991857488e+00 1.776529038504125e-02 -3.503071984561772e-01
8.207353811990718e+00 -1.392016707864254e-02 -3.441411491393545e-01
8.298546632123948e+00 -4.491834526742227e-02 -3.352530247765375e-01
8.389739452257178e+00 -7.498653399954158e-02 -3.237676887743458e-01
8.480932272390408e+00 -1.038943975962819e-01 -3.098313205424639e-01
8.572125092523638e+00 -1.314258191971390e-01 -2.936091909444424e-01
8.663317912656868e+00 -1.573805321973736e-01 -2.752832321126265e-01
8.754510732790099e+00 -1.815755239112266e-01 -2.550494862720055e-01
8.845703552923329e+00 -2.038462042194109e-01 -2.331155159026333e-01
8.936896373056559e+00 -2.240473391644986e-01 -2.096978501546186e-01
9.028089193189789e+00 -2.420537557921546e-01 -1.850195309458206e-01
9.119282013323019e+00 -2.577608296851668e-01 -1.593078078813717e-01
9.210474833456249e+00 -2.710847704061174e-01 -1.327920153815554e-01
9.301667653589480e+00 -2.819627223801188e-01 -1.057016494907492e-01
9.392860473722710e+00 -2.903526996505998e-01 -7.826464691806033e-02
9.484053293855940e+00 -2.962333725636401e-01 -5.070585586647898e-02
9.575246113989170e+00 -2.996037229888422e-01 -2.324567782648253e-02
9.666438934122400e+00 -3.004825824268401e-01 3.901147832381073e-03
9.757631754255630e+00 -2.989080645723532e-01 3.052664876163132e-02
9.848824574388860e+00 -2.949369008906246e-01 5.643064725638552e-02
9.940017394522091e+00 -2.886436848055162e-01 8.142174181085915e-02
1.003121021465532e+01 -2.801200274435826e-01 1.053182692075158e-01
1.012240303478855e+01 -2.694736257447590e-01 1.279492670299433e-01
1.021359585492178e+01 -2.568272423026887e-01 1.491554482555591e-01
1.030478867505501e+01 -2.423175956463776e-01 1.687901904644973e-01
1.039598149518824e+01 -2.260941598701831e-01 1.867205328650574e-01
1.048717431532147e+01 -2.083178735501166e-01 2.028281654549969e-01
1.057836713545470e+01 -1.891597596800919e-01 2.170103868504567e-01
1.066955995558793e+01 -1.687994607957020e-01 2.291810011898761e-01
1.076075277572116e+01 -1.474236963516934e-01 2.392711205206444e-01
1.085194559585439e+01 -1.252246525730357e-01 2.472298375192893e-01
1.094313841598762e+01 -1.023983181776397e-01 2.530247344257412e-01
1.103433123612085e+01 -7.914278233615951e-02 2.566421976403616e-01
1.112552405625408e+01 -5.565651376911660e-02 2.580875132951552e-01
1.121671687638731e+01 -3.213664179262931e-02 2.573847268433414e-01
1.130790969652054e+01 -8.777261265934949e-03 2.545762587418906e-01
1.139910251665377e+01 1.423221632161175e-02 2.497222779583850e-01
1.149029533678700e+01 3.670864398406363e-02 2.428998446060131e-01
1.158148815692023e+01 5.847663239339936e-02 2.342018418127731e-01
1.167268097705346e+01 7.936993704029334e-02 2.237357243627103e-01
1.176387379718669e+01 9.923272416816381e-02 2.116221172440260e-01
1.185506661731992e+01 1.179207034441960e-01 1.979933007078181e-01
1.194625943745315e+01 1.353021187422472e-01 1.829916196753498e-01
1.203745225758638e+01 1.512585918366393e-01 1.667678544073393e-01
1.212864507771961e+01 1.656858170557312e-01 1.494795865039237e-01
1.221983789785284e+01 1.784941078605548e-01 1.312895899041799e-01
1.231103071798607e+01 1.896087987749719e-01 1.123642710497605e-01
1.240222353811930e+01 1.989705080212295e-01 9.287217625841571e-02
1.249341635825254e+01 2.065352675748228e-01 7.298257810686044e-02
1.258460917838577e+01 2.122745281543817e-01 5.286414669563471e-02
1.267580199851900e+01 2.161750469528877e-01 3.268370644001779e-02
1.276699481865223e+01 2.182386657735875e-01 1.260507479211694e-02
1.285818763878546e+01 2.184819867573429e-01 -7.212023755902909e-03
1.294938045891869e+01 2.169359521908745e-01 -2.661297681400289e-02
1.304057327905192e+01 2.136453340847108e-01 -4.544924530637830e-02
1.313176609918515e+01 2.086681384189280e-01 -6.357927498321568e-02
1.322295891931838e+01 2.020749282759886e-01 -8.086936473336354e-02
1.331415173945161e+01 1.939480695978770e-01 -9.719449565463274e-02
1.340534455958484e+01 1.843809030821257e-01 -1.124391217377097e-01
1.349653737971807e+01 1.734768458060573e-01 -1.264979196478404e-01
1.358773019985130e+01 1.613484265520276e-01 -1.392764917381016e-01
1.367892301998453e+01 1.481162594836414e-01 -1.506920133814405e-01
1.377011584011776e+01 1.339079617542852e-01 -1.606738132201531e-01
1.386130866025099e+01 1.188570217539682e-01 -1.691638732115281e-01
1.395250148038422e+01 1.031016259408791e-01 -1.761172345494126e-01
1.404369430051745e+01 8.678345347188476e-02 -1.815022957472781e-01
1.413488712065068e+01 7.004644904879549e-02 -1.853009903880156e-01
1.422607994078391e+01 5.303558544462076e-02 -1.875088342127214e-01
1.431727276091714e+01 3.589562798557089e-02 -1.881348341983354e-01
1.440846558105037e+01 1.876991377486838e-02 -1.872012558659344e-01
1.449965840118360e+01 1.799158608153164e-03 -1.847432490281064e-01
1.459085122131683e+01 -1.487969567485709e-02 -1.808083362618332e-01
1.468204404145006e+01 -3.113458122974747e-02 -1.754557723172842e-01
